Column1,Column2
Thank you.,（鼓掌） 谢谢大家
"Denise Kahler-Braaten: Hey, that's me.",Denise Kahler-Braaten（手语翻译）：这是我
"When I was a kid, my parents would tell me, ""You can make a mess, but you have to clean up after yourself.""",当我还是个孩子时， 我父母告诉我， “你可以把东西搞得一团糟， 但是之后你必须收拾好。”
So freedom came with responsibility.,所以自由和责任其实是伴随发生的。
"But my imagination would take me to all these wonderful places, where everything was possible.",我的想象力会把我带到 一个什么都可以发生的， 神奇的地方。
"So I grew up in a bubble of innocence -- or a bubble of ignorance, I should say, because adults would lie to us to protect us from the ugly truth.",我在一个充满天真的世界中成长—— 或者应该说是一个无知的世界， 因为大人们会对我们说谎， 来避免我们接触到丑恶的现实。
"And growing up, I found out that adults make a mess, and they're not very good at cleaning up after themselves.",当我们逐渐长大，我发现 其实大人们的世界一团糟， 而且他们并不善于收拾烂摊子。
"Fast forward, I am an adult now, and I teach citizen science and invention at the Hong Kong Harbour School.",现在，我变成了个大人， 我在香港港口小学教科学和发明课。
And it doesn't take too long before my students walk on a beach and stumble upon piles of trash.,没过多久， 我的学生们走在海滩上的时候， 就发现了成堆的垃圾。
"So as good citizens, we clean up the beaches -- and no, he is not drinking alcohol, and if he is, I did not give it to him.",作为好公民，我们清理了海滩—— 不，他不是在喝酒， 就算是，酒也不是我给的。
"And so it's sad to say, but today more than 80 percent of the oceans have plastic in them.",很遗憾地说， 如今超过80%的海洋里有塑料制品。
It's a horrifying fact.,这是个很可怕的事实。
"And in past decades, we've been taking those big ships out and those big nets, and we collect those plastic bits that we look at under a microscope, and we sort them, and then we put this data onto a map.",在过去的几十年里， 我们用这些大船拖着大网把垃圾捞出来， 我们把塑料垃圾收集起来， 用显微镜观察， 然后把它们分类， 之后我们把这些数据写在了一张地图上。
"But that takes forever, it's very expensive, and so it's quite risky to take those big boats out.",但那要花很长时间，成本也非常高， 而且开那些大船是很危险的。
"So with my students, ages six to 15, we've been dreaming of inventing a better way.",所以我，和我的6到15岁的学生们， 一直都梦想创造一个更好的办法。
So we've transformed our tiny Hong Kong classroom into a workshop.,于是，我们把在香港的 一个小教室变成了一个工作室。
"And so we started building this small workbench, with different heights, so even really short kids can participate.",然后我们就开始建造这个小工作台， 把它们做成不同的高度，就算是个子矮的 小朋友也可以参加进来了。
"And let me tell you, kids with power tools are awesome and safe.",告诉你们吧，拿着电动工具的孩子们 其实很酷炫而且很安全。
Not really.,开个玩笑。
"And so, back to plastic.",咱们回到塑料制品那个话题。
"We collect this plastic and we grind it to the size we find it in the ocean, which is very small because it breaks down.",我们收集了一些塑料制品然后把它们 磨成了在海里找到它们时的大小， 特别特别小，因为它们在海里都分解了。
And so this is how we work.,我们是这么做的。
I let the imaginations of my students run wild.,我让我的学生们充分发挥想象力。
And my job is to try to collect the best of each kid's idea and try to combine it into something that hopefully would work.,而我的工作就是尽量收集 每个孩子最好的想法， 然后试着去把这些想法和一些 期望能行的通的东西结合起来。
"And so we have agreed that instead of collecting plastic bits, we are going to collect only the data.",之后我们就达成了一致， 我们不收集塑料品了， 我们决定仅仅收集数据。
"So we're going to get an image of the plastic with a robot -- so robots, kids get very excited.",我们打算用机器人来获取 塑料制品的图片—— 有了机器人，孩子们简直兴奋死了。
"And the next thing we do -- we do what we call ""rapid prototyping.""",我们的下一步工作—— 我们称之为“快速原型设计”。
We are so rapid at prototyping that the lunch is still in the lunchbox when we're hacking it.,我们的原型设计做得非常快， 以至于我们午饭还没吃完， 饭盒就被征用了。
"And we hack table lamps and webcams, into plumbing fixtures and we assemble that into a floating robot that will be slowly moving through water and through the plastic that we have there -- and this is the image that we get in the robot.",我们把桌灯和网络摄像头 装到了卫生洁具上， 然后把它们组装在漂浮机器人上， 机器人会在水面上缓缓移动， 穿过水面上的塑料漂浮物—— 这就是我们用机器人得到的照片。
"So we see the plastic pieces floating slowly through the sensor, and the computer on board will process this image, and measure the size of each particle, so we have a rough estimate of how much plastic there is in the water.",我们可以看到塑料碎片缓缓地 流经感应器， 内置的计算机就会分析这些影像， 并且计算出每个颗粒的大小， 所以我们就能对水中塑料品的数量 有一个粗略的估计了。
"So we documented this invention step by step on a website for inventors called Instructables, in the hope that somebody would make it even better.",我们在一个叫Instructables的 发明家网站上 一步一步地记录下我们的发明， 希望有人可以继续完善它。
"What was really cool about this project was that the students saw a local problem, and boom -- they are trying to immediately address it.",这个项目的精彩之处在于， 孩子们自己看到了当地的问题， 然后灵光一现——他们就马上开始 试着去解决这个问题了。
[I can investigate my local problem] But my students in Hong Kong are hyperconnected kids.,不过，我在香港的学生是 非常与时俱进的孩子。
"And they watch the news, they watch the Internet, and they came across this image.",他们常看新闻， 他们会上网， 然后他们就看到了这张照片。
"This was a child, probably under 10, cleaning up an oil spill bare-handed, in the Sundarbans, which is the world's largest mangrove forest in Bangladesh.",这是一个大概不到10岁的孩子， 在徒手清理流出的油污， 地点在孟加拉国，拥有世界最大的 红树林的孙德尔本斯地区。
"So they were very shocked, because this is the water they drink, this is the water they bathe in, this is the water they fish in -- this is the place where they live.",孩子们感到非常震惊， 因为这里的水就是当地人喝的水， 他们也常在这里洗澡， 在这里钓鱼—— 这是他们赖以生存的地方。
"And also you can see the water is brown, the mud is brown and oil is brown, so when everything is mixed up, it's really hard to see what's in the water.",现在你们可以看到水是棕色的， 泥土是棕色的，油污也是棕色的， 当所有的东西都掺在一起时， 很难分清水里有什么东西。
"But, there's a technology that's rather simple, that's called spectrometry, that allows you see what's in the water.",但是，有一项相当简单的技术， 叫做光谱测定法， 可以让你看清水中物质的成分。
"So we built a rough prototype of a spectrometer, and you can shine light through different substances that produce different spectrums, so that can help you identify what's in the water.",所以我们就做了一个分光仪的 简单原型， 让光线透过不同的物质， 产生不同的光谱， 这样就能帮你分辨水里的东西了。
"So we packed this prototype of a sensor, and we shipped it to Bangladesh.",我们就把这个感应器的原型打包好， 寄到了孟加拉国。
"So what was cool about this project was that beyond addressing a local problem, or looking at a local problem, my students used their empathy and their sense of being creative to help, remotely, other kids.",这个项目有意思的地方在于 这不只是解决一个本地问题， 或者研究一个本地问题了， 我的学生们用他们的同情心 和丰富的想象力 远程帮助了其他的孩子。
"[I can investigate a remote problem] So I was very compelled by doing the second experiments, and I wanted to take it even further -- maybe addressing an even harder problem, and it's also closer to my heart.",我做第二个实验时有一种 很强的使命感， 想要更进一步—— 或许我们可以解决一个更加困难， 同时也是我打心底里想研究的问题。
"So I'm half Japanese and half French, and maybe you remember in 2011 there was a massive earthquake in Japan.",我是日法混血， 可能你们还记得在2011年 日本遭受了一次很强的地震。
It was so violent that it triggered several giant waves -- they are called tsunami -- and those tsunami destroyed many cities on the eastern coast of Japan.,地震破坏力很强，还引发了惊天巨浪—— 也就是海啸—— 海啸破坏了日本东边沿海地区的 很多城市。
"More than 14,000 people died in an instant.",一瞬间，超过一万四千人失去了生命。
"Also, it damaged the nuclear power plant of Fukushima, the nuclear power plant just by the water.",而且，海啸还摧毁了福田核电站， 一个建在海边的核电站。
"And today, I read the reports and an average of 300 tons are leaking from the nuclear power plant into the Pacific Ocean.",今天，我读了一些报告， 知道了大概300吨的核污水 从核电站流到了太平洋。
And today the whole Pacific Ocean has traces of contamination of cesium-137.,今天，整个太平洋都 受到了铯-137的污染。
"If you go outside on the West Coast, you can measure Fukushima everywhere.",如果你去美国的西海岸， 到处都能够发现福岛核泄露的痕迹。
"But if you look at the map, it can look like most of the radioactivity has been washed away from the Japanese coast, and most of it is now -- it looks like it's safe, it's blue.",但如果你从地图上看， 你会看到似乎大部分的放射物质 都从日本海岸冲走了， 现在核泄露的大部分—— 看起来都是安全的，因为是蓝色的。
"Well, reality is a bit more complicated than this.",然而，现实要比这复杂得多。
"So I've been going to Fukushima every year since the accident, and I measure independently and with other scientists, on land, in the river -- and this time we wanted to take the kids.",自从那次事故以来，我每年都会去福岛， 我和其他的科学家一起， 在陆地上、在水里 进行独立调查—— 这次我想带上孩子们。
"So of course we didn't take the kids, the parents wouldn't allow that to happen.",当然我们没有真的把孩子们带过去， 家长们不会让我们这样做的。
"But every night we would report to ""Mission Control"" -- different masks they're wearing.",但每晚我们都要向“任务控制部”汇报， 他们带着不同的面具。
"It could look like they didn't take the work seriously, but they really did because they're going to have to live with radioactivity their whole life.",看起来好像他们并没有认真工作， 但其实不然， 因为他们一辈子都要在这种 放射性的环境下生活。
"And so what we did with them is that we'd discuss the data we collected that day, and talk about where we should be going next -- strategy, itinerary, etc...",我们跟他们一起做的工作 就是研究我们当天收集的数据， 并且讨论我们下一步该做什么—— 策略、行程等等······
"And to do this, we built a very rough topographical map of the region around the nuclear power plant.",于是，我们做了一个 核电站周围区域的 很简单的地形图。
"And so we built the elevation map, we sprinkled pigments to represent real-time data for radioactivity, and we sprayed water to simulate the rainfall.",我们做了这个高程图， 在上面撒上颜料 来代表核放射的实时数据， 我们还会喷水来模拟下雨。
"And with this we could see that the radioactive dust was washing from the top of the mountain into the river system, and leaking into the ocean.",用这种方法我们看到了放射性尘埃 被雨水从山顶冲到了河流里， 最后流向大海。
So it was a rough estimate.,这只是个粗略的估算。
"But with this in mind, we organized this expedition, which was the closest civilians have been to the nuclear power plant.",基于这种方法， 我们组织了一次探索活动， 这也是公民们距离核电站 最近的一次了。
"We are sailing 1.5 kilometers away from the nuclear power plant, and with the help of the local fisherman, we are collecting sediment from the seabed with a custom sediment sampler we've invented and built.",我们在离核电站1.5公里远的地方航行， 在当地渔民的帮助下， 我们用自己发明制作的 沉淀物采样器在海底 收集了一些沉淀物。
"We pack the sediment into small bags, we then dispatch them to hundreds of small bags that we send to different universities, and we produce the map of the seabed radioactivity, especially in estuaries where the fish will reproduce, and I will hope that we will have improved the safety of the local fishermen and of your favorite sushi.",我们把这些沉淀物打成一个个的小包， 然后把这数百个小包封装好 寄给了很多大学， 我们做出了这个 海床放射活动的地图， 特别是在鱼类繁殖的河口地区， 我希望我们所做的这些 可以使当地的渔民和你们最爱的寿司 安全一点。
You can see a progression here -- we've gone from a local problem to a remote problem to a global problem.,你们可以看到我们的进步—— 我们从本地问题开始， 到外地的问题，最后再到世界问题。
"And it's been super exciting to work at these different scales, with also very simple, open-source technologies.",做这些不同规模项目的感觉 真的特别爽， 我们使用的技术也是 非常简单和开源的。
"But at the same time, it's been increasingly frustrating because we have only started to measure the damage that we have done.",但同时，我们也逐渐地感觉有些沮丧， 因为我们现在做的仅仅是测量 我们过去所造成的危害。
We haven't even started to try to solve the problems.,我们还没有开始解决这些问题。
And so I wonder if we should just take a leap and try to invent better ways to do all these things.,所以我想知道， 我们能不能有一个飞跃， 想出一些更好的办法来解决这些问题呢？
"And so the classroom started to feel a little bit small, so we found an industrial site in Hong Kong, and we turned it into the largest mega-space focused on social and environmental impact.",然后教室就显得有点小了， 我们找了香港的一处废弃工厂， 然后把它变成了一个最大的多用空间， 专门来研究社会和环境影响。
"It's in central Hong Kong, and it's a place we can work with wood, metal, chemistry, a bit of biology, a bit of optics, basically you can build pretty much everything there.",这是在香港市中心， 是一个我们可以做木工、 金工和化学实验的地方， 还可以做一些生物学和光学的实验， 在那里，基本上你什么都可以做。
And its a place where adults and kids can play together.,这是一个大人和孩子 可以一起玩的地方。
"It's a place where kids' dreams can come true, and where adults can be kids again.",这是一个在大人的帮助下， 孩子们可以梦想成真的地方， 在这里，大人们也返老还童了。
Student: Acceleration! Acceleration!,学生们：加油！加油！
"Cesar Harada: We're asking questions such as, can we invent the future of mobility with renewable energy?",塞萨尔·原田： 我们经常提出这样的问题， 我们可以打造一个利用可再生能源的 移动设备的未来吗？
For example.,这是一个例子。
"by transforming very standard wheelchairs into cool, electric vehicles?",还有，我们能把非常常见的轮椅 变成很酷的电动车， 让老年人的行动更加方便吗？
"So plastic, oil and radioactivity are horrible, horrible legacies, but the very worst legacy that we can leave our children is lies.",塑料制品、油污和核辐射 都是非常非常可怕的残留物， 但是最最可怕的 还是我们对孩子们说的谎话。
We can no longer afford to shield the kids from the ugly truth because we need their imagination to invent the solutions.,我们不能再对孩子们隐瞒丑恶的真相了， 因为我们需要他们解决问题的想象力。
"So citizen scientists, makers, dreamers -- we must prepare the next generation that cares about the environment and people, and that can actually do something about it.",所以，科学家们、制造商们、 梦想家们—— 我们必须让我们的下一代开始 关心现在的环境和人们， 这样他们就可以采取行动解决问题了。
Thank you.,谢谢。
"Two twin domes, two radically opposed design cultures.",两个宛如双胞胎的圆顶建筑， 两种截然相反的设计文化。
"One is made of thousands of steel parts, the other of a single silk thread.",一个由成千上万的钢件制成， 另一个由单一丝线构成。
"One is synthetic, the other organic.",一个是人工合成的，另一个是有机的。
"One is imposed on the environment, the other creates it.",一个被嵌入环境之中， 另一个创造环境。
"One is designed for nature, the other is designed by her.",一个为自然设计，另一个由自然设计。
"Michelangelo said that when he looked at raw marble, he saw a figure struggling to be free.",米开朗琪罗说，当他看着天然的大理石， 他看到跃跃欲出的图案。
The chisel was Michelangelo's only tool.,米开朗琪罗唯一的工具是凿子。
But living things are not chiseled.,但自然生物不是凿刻出来的，
They grow.,它们是生长出来的。
"And in our smallest units of life, our cells, we carry all the information that's required for every other cell to function and to replicate.",在我们生命的最小单位—— 我们的细胞里，包含了 所有其他细胞得以运作和复制的信息。
Tools also have consequences.,工具也带来了一些影响。
"At least since the Industrial Revolution, the world of design has been dominated by the rigors of manufacturing and mass production.",至少自工业革命以来，我们的设计被 制造业和大规模生产的严格标准所控制。
"Assembly lines have dictated a world made of parts, framing the imagination of designers and architects who have been trained to think about their objects as assemblies of discrete parts with distinct functions.",装配线主宰了一个由部件构成的世界， 限制了设计师和建筑师的想象力。 他们被训练设计出的作品 都由功能不同的分立部件组装而成。
But you don't find homogenous material assemblies in nature.,但你不能在自然界中 找到同质材料的组合。
"Take human skin, for example.",拿我们人类的皮肤来说，
Our facial skins are thin with large pores.,我们的面部皮肤薄，毛孔大。
"Our back skins are thicker, with small pores.",我们的背部皮肤厚，毛孔小。
"One acts mainly as filter, the other mainly as barrier, and yet it's the same skin: no parts, no assemblies.",一个主要充当过滤器， 一个主要充当屏障。 但它是一张皮肤：没有部件，没有组装。
It's a system that gradually varies its functionality by varying elasticity.,这是一个系统，通过改变弹性 逐渐改变它的功能。
"So here this is a split screen to represent my split world view, the split personality of every designer and architect operating today between the chisel and the gene, between machine and organism, between assembly and growth, between Henry Ford and Charles Darwin.",这里有两个分开的屏幕， 代表我不同的世界观， 以及每个设计师和建筑师设计时 两种不同的个性： 凿子相对基因， 机器相对生物体，组装相对生长， 亨利．福特相对查尔斯．达尔文，
"These two worldviews, my left brain and right brain, analysis and synthesis, will play out on the two screens behind me.",这两种世界观，我的左脑和右脑， 分析和综合， 等下会在我身后的两个屏幕上显示。
"My work, at its simplest level, is about uniting these two worldviews, moving away from assembly and closer into growth.",我的工作，用最简单的说法， 就是结合这两种世界观。 远离组装， 靠近生长。
You're probably asking yourselves: Why now?,各位可能会问自己： 为什么是现在？
Why was this not possible 10 or even five years ago?,为什么不是在10年甚至是5年前？
"We live in a very special time in history, a rare time, a time when the confluence of four fields is giving designers access to tools we've never had access to before.",我们生活在史上一个特殊的时期， 一个罕见的时期。 在这个时期设计师可以综合运用 我们之前从未接触过的 四个领域中的工具去设计。
"These fields are computational design, allowing us to design complex forms with simple code; additive manufacturing, letting us produce parts by adding material rather than carving it out; materials engineering, which lets us design the behavior of materials in high resolution; and synthetic biology, enabling us to design new biological functionality by editing DNA.",这些领域分别是：运算化设计， 让我们可以运用简单代码设计复杂事物； 增材制造，让我们可以 通过添加材料 而不是通过凿刻生产部件； 材料工程，让我们可以精细地 设计材料行为； 合成生物学 让我们可以通过编辑DNA 设计新的生物功能。
"And at the intersection of these four fields, my team and I create.",通过综合运用这4个领域， 我的团队和我进行创造。
Please meet the minds and hands of my students.,请看我学生们 通过匠心巧手创造的作品。
"We design objects and products and structures and tools across scales, from the large-scale, like this robotic arm with an 80-foot diameter reach with a vehicular base that will one day soon print entire buildings, to nanoscale graphics made entirely of genetically engineered microorganisms that glow in the dark.",我们设计的对象、产品、结构和工具 跨越各种规模。 大的像这个有80英尺直径的机械手臂， 装载在车辆上， 它在不远的将来可以打印整栋楼。 小的像 完全由转基因微生物制成的纳米图案 它在黑暗里会发光。
"Here we've reimagined the mashrabiya, an archetype of ancient Arabic architecture, and created a screen where every aperture is uniquely sized to shape the form of light and heat moving through it.",这里我们重塑了mashrabiya， 阿拉伯古代建筑的原型。 我们创建一个屏幕， 屏幕上每个毛孔都有独特的大小， 当光和热穿过它们时可以形成这个图案。
"In our next project, we explore the possibility of creating a cape and skirt -- this was for a Paris fashion show with Iris van Herpen -- like a second skin that are made of a single part, stiff at the contours, flexible around the waist.",在我们的下一个项目中， 我们尝试创造一件披肩和一条裙子—— 这是和Iris van Herpen 为巴黎时装展创造的作品。 它像是由单一部件制成的第二层皮肤， 硬朗的轮廓，灵活地缠绕在腰间。
"Together with my long-term 3D printing collaborator Stratasys, we 3D-printed this cape and skirt with no seams between the cells, and I'll show more objects like it.",通过和Stratasys 3D打印机 的长时间合作， 我们3D打印出的披肩和裙子浑然一体，没有缝线。 我会展示更多类似的作品。
This helmet combines stiff and soft materials in 20-micron resolution.,这个头盔结合了软硬不同的材质， 具有20微米的精细度，
This is the resolution of a human hair.,这是一根头发的精细度，
It's also the resolution of a CT scanner.,也是CT扫描仪的精细度。
"That designers have access to such high-resolution analytic and synthetic tools, enables to design products that fit not only the shape of our bodies, but also the physiological makeup of our tissues.",设计师运用 如此高精细度的分析合成工具， 设计出的作品不仅符合我们身体的形状， 还符合我们组织的生理构造。
"Next, we designed an acoustic chair, a chair that would be at once structural, comfortable and would also absorb sound.",接下来，我们设计了一张声学椅子， 它可以快速变型，很舒服 并且可以吸音。
"Professor Carter, my collaborator, and I turned to nature for inspiration, and by designing this irregular surface pattern, it becomes sound-absorbent.",卡特教授是我的合作者， 我们一起去大自然寻找灵感。 通过设计这个不规则的表面， 使这张椅子可以吸音。
"We printed its surface out of 44 different properties, varying in rigidity, opacity and color, corresponding to pressure points on the human body.",我们打印了44种不同材质的这种表面， 硬度、透明度和颜色都不同， 并且与人体的压力点对应。
"Its surface, as in nature, varies its functionality not by adding another material or another assembly, but by continuously and delicately varying material property.",这个表面，正如自然界的东西， 改变功能 不是通过添加其他材料或进行组装， 而是通过持续精细地改变材料属性。
But is nature ideal?,但大自然是理想的吗？
Are there no parts in nature?,大自然里有没有部件呢？
"I wasn't raised in a religious Jewish home, but when I was young, my grandmother used to tell me stories from the Hebrew Bible, and one of them stuck with me and came to define much of what I care about.",我不是生长在一个犹太教的家庭， 但我小的时候， 我的祖母曾经告诉我希伯来圣经的故事。 其中有一个故事我一直记得 并且影响了我对很多重要事情的看法。
"As she recounts: ""On the third day of Creation, God commands the Earth to grow a fruit-bearing fruit tree.""",她是这样描述的： “在创世纪的第三天，上帝让地球 长出结实累累的果树。”
"For this first fruit tree, there was to be no differentiation between trunk, branches, leaves and fruit.",这第一棵果树， 树干，树枝，叶子和果实 都没有什么区别，
The whole tree was a fruit.,整棵树就是个水果。
"Instead, the land grew trees that have bark and stems and flowers.",但从土地里长出来的树 却有树皮，茎和花。
The land created a world made of parts.,土地创造了一个由不同部件组成的世界。
"I often ask myself, ""What would design be like if objects were made of a single part?",我经常问自己： “如果我们的设计作品 都由单一的部件组成将会是怎样？
"Would we return to a better state of creation?""",我们会回归到一个更好的创造状态吗？”
"So we looked for that biblical material, that fruit-bearing fruit tree kind of material, and we found it.",所以我们开始寻找圣经里的那种材料， 类似于那种果树的材料， 然后我们找到了。
"The second-most abundant biopolymer on the planet is called chitin, and some 100 million tons of it are produced every year by organisms such as shrimps, crabs, scorpions and butterflies.",地球上第二丰富的生物聚合物叫甲壳素。 每年大约1亿吨的甲壳素 由虾、蟹、蝎子和蝴蝶生产出。
"We thought if we could tune its properties, we could generate structures that are multifunctional out of a single part.",我们想如果可以调整它的属性， 我们就可以从单一部件中 获得多功能的结构。
So that's what we did.,所以这就是我们所做的。
"We called Legal Seafood -- we ordered a bunch of shrimp shells, we grinded them and we produced chitosan paste.",我们打电话给「合法海鲜」 ——  我们订购了一批虾壳， 把它们磨碎，然后做成甲壳素糊。
"By varying chemical concentrations, we were able to achieve a wide array of properties -- from dark, stiff and opaque, to light, soft and transparent.",通过改变化学浓度 我们可以得到许多不同的属性—— 从深色的、硬的和不透明的， 到浅色的，柔软的和透明的。
"In order to print the structures in large scale, we built a robotically controlled extrusion system with multiple nozzles.",为了打印大型的结构， 我们设计了一个由机器控制的喷出系统， 具有多个喷嘴，
"The robot would vary material properties on the fly and create these 12-foot-long structures made of a single material, 100 percent recyclable.",机器手臂可以在空中改变材料属性， 创造出这些12英尺长的结构， 全由单一材料组成， 100%可以回收利用。
"When the parts are ready, they're left to dry and find a form naturally upon contact with air.",当这些部件做好之后，它们自然风干 并通过接触空气自然成型。
So why are we still designing with plastics?,所以我们何必还用塑料进行设计呢？
"The air bubbles that were a byproduct of the printing process were used to contain photosynthetic microorganisms that first appeared on our planet 3.5 billion year ago, as we learned yesterday.",这些气泡是打印过程的副产品， 我们用来容纳光合微生物。 这些微生物在35亿年前 第一次在我们的星球上出现， 就如我们昨天学到的那样。
"Together with our collaborators at Harvard and MIT, we embedded bacteria that were genetically engineered to rapidly capture carbon from the atmosphere and convert it into sugar.",通过我们与哈佛和麻省理工学院的合作， 我们植入基因改造过的细菌。 这些细菌能迅速捕获空气中的碳， 并将其转化为糖。
"For the first time, we were able to generate structures that would seamlessly transition from beam to mesh, and if scaled even larger, to windows.",这是第一次， 我们可以无缝地 将梁状结构转变成网状结构， 甚至再大一些，可以变成窗户，
A fruit-bearing fruit tree.,或者是一棵果树。
"Working with an ancient material, one of the first lifeforms on the planet, plenty of water and a little bit of synthetic biology, we were able to transform a structure made of shrimp shells into an architecture that behaves like a tree.",通过使用一种古老的材料， 地球上最早的生命形式之一， 足够的水以及一点点合成生物学， 我们可以将一个虾壳的结构转变成 一个像树一样生长的建筑。
"And here's the best part: for objects designed to biodegrade, put them in the sea, and they will nourish marine life; place them in soil, and they will help grow a tree.",最棒的一点是： 它们是可以生物降解的， 把它们放入大海， 他们可以滋养海洋生物， 将它们放入土壤， 它们可以帮助树木生长。
"In a curious symmetry, this is also the length of the Silk Road.",巧合的是，这也是丝绸之路的长度。
"The moths, after they hatch, produce 1.5 million eggs.",这些蛾在孵化后， 生产了150万颗蛋，
This could be used for 250 additional pavilions for the future.,这些蛋以后可以用来 创造另外250个临时建筑物。
"So here they are, the two worldviews.",这里是两种世界观，
"One spins silk out of a robotic arm, the other fills in the gaps.",一个通过机器臂膀编织丝线， 另一个填补其中的缝隙。
"If the final frontier of design is to breathe life into the products and the buildings around us, to form a two-material ecology, then designers must unite these two worldviews.",如果设计的最终边界是 在我们周边的产品或建筑中注入生命， 形成双材料的生态， 那么设计师必须结合这两种世界观。
"Which brings us back, of course, to the beginning.",当然，这让我们回到生命的起点。
"Here's to a new age of design, a new age of creation, that takes us from a nature-inspired design to a design-inspired nature, and that demands of us for the first time that we mother nature.",这是设计的新时代、创造的新时代， 将我们从启发于大自然的设计， 带到由设计唤醒的大自然。 而这将首次要求我们 孕育大自然。
Thank you.,谢谢。
Thank you very much. Thank you.,非常感谢，谢谢。
"Raise your hand if you've ever been asked the question ""What do you want to be when you grow up?""",如果你们曾被问过这个问题，请举手 “你长大之后想干什么？”
"Now if you had to guess, how old would you say you were when you were first asked this question?",现在大家回想一下， 你们第一次被问这个问题是多大？
You can just hold up fingers.,你们可以举手指头来示意一下。
Three. Five. Three. Five. Five. OK.,三岁，五岁，三岁，五岁，五岁，好的。
"Now, raise your hand if the question ""What do you want to be when you grow up?""",接下来，如果刚刚说的这个问题， “你长大之后想干什么？”
has ever caused you any anxiety.,曾经让你感到焦虑，请举手。
Any anxiety at all.,哪怕一点点焦虑。
"I'm someone who's never been able to answer the question ""What do you want to be when you grow up?""",我永远无法回答这个问题， “你长大之后想干什么？”
"See, the problem wasn't that I didn't have any interests -- it's that I had too many.",并不是说我没有兴趣爱好， 而是我的兴趣爱好太多。
"In high school, I liked English and math and art and I built websites and I played guitar in a punk band called Frustrated Telephone Operator.",高中的时候，我喜欢英语、 数学和艺术，建过网站 在一个叫“失意电话话务员” 的朋克乐队当吉他手。
Maybe you've heard of us.,也许你们还听说过我们乐队呢。
"This continued after high school, and at a certain point, I began to notice this pattern in myself where I would become interested in an area and I would dive in, become all-consumed, and I'd get to be pretty good at whatever it was, and then I would hit this point where I'd start to get bored.",高中毕业后我也依旧兴趣广泛， 某一天，我发现自己有一个行为模式， 我会对某一个领域感兴趣， 然后一头扎进去，认真钻研， 变得越来越擅长， 但到了某一个阶段， 我就会开始觉得无聊。
"And usually I would try and persist anyway, because I had already devoted so much time and energy and sometimes money into this field.",通常我会继续坚持下去， 因为我已经投入了很多时间和精力， 有时候还有金钱。
"But eventually this sense of boredom, this feeling of, like, yeah, I got this, this isn't challenging anymore -- it would get to be too much.",但是最终这种无聊的感觉， 就像在说，哦，这事我已经会了， 已经没有任何挑战了， 再继续也不会有多大成就了。
And I would have to let it go.,我必须要放手。
"But then I would become interested in something else, something totally unrelated, and I would dive into that, and become all-consumed, and I'd be like, ""Yes! I found my thing,"" and then I would hit this point again where I'd start to get bored.",但之后我可能又会对另一些事感兴趣， 跟之前完全不同的领域， 我又会一头扎进去， 认真钻研，然后说， “太棒了！这就是我的菜！” 之后我又会达到那个阶段， 开始觉得无聊。
"And eventually, I would let it go.",最后，我又会放弃。
"But then I would discover something new and totally different, and I would dive into that.",之后我又会发现新的兴趣，不同的领域 然后一头扎进去。
"This pattern caused me a lot of anxiety, for two reasons.",这种模式让我非常焦虑， 原因有两点。
The first was that I wasn't sure how I was going to turn any of this into a career.,一是我不确定 如何才能将这些兴趣变成我的职业。
"I thought that I would eventually have to pick one thing, deny all of my other passions, and just resign myself to being bored.",我觉得自己最终会从 里面挑一个， 而对其他爱好忍痛割爱， 做好将来一定会无聊的心理准备。
The other reason it caused me so much anxiety was a little bit more personal.,让我非常焦虑的第二个原因， 跟我自身有关。
"I worried that there was something wrong with this, and something wrong with me for being unable to stick with anything.",我担心自己的这种行为模式是错的， 自己这么朝三暮四，是不是错了。
"I worried that I was afraid of commitment, or that I was scattered, or that I was self-sabotaging, afraid of my own success.",我是不是害怕做出承诺， 或者自由散漫，破罐子破摔， 惧怕成功。
The setting for our next exploration using the same design principles was the solar system.,在使用同样的设计原则的前提下， 我们的下一个探索目标是太阳系统。
We looked for the possibility of creating life-sustaining clothing for interplanetary voyages.,我们尝试探索为星际航行 制造维持生命的服装。
"To do that, we needed to contain bacteria and be able to control their flow.",要做到这一点， 我们要控制细菌并控制它们的生长趋势。
"So like the periodic table, we came up with our own table of the elements: new lifeforms that were computationally grown, and biologically augmented.",正如元素周期表那样， 我们想出自己的元素表： 运算培养的新生命形态， 增材制造的新生命形态， 以及生物增长的新生命形态。
"I like to think of synthetic biology as liquid alchemy, only instead of transmuting precious metals, you're synthesizing new biological functionality inside very small channels.",我喜欢把合成生物技术想成液体炼金术， 只是你不是炼化贵重金属， 而是在非常小的管道里 合成新的生物功能。
It's called microfluidics.,这称为微流体。
We 3D-printed our own channels in order to control the flow of these liquid bacterial cultures.,我们3D打印了我们自己的管道， 以控制这些液体细菌的生长趋势。
"In our first piece of clothing, we combined two microorganisms.",在我们的第一件衣服中， 我们结合了两种微生物。
The first is cyanobacteria.,第一种是蓝藻，
It lives in our oceans and in freshwater ponds.,它生活在我们的海洋以及谈水塘中。
"And the second, E. coli, the bacterium that inhabits the human gut.",第二个是大肠杆菌， 这种细菌居住在人类的肠道中。
"One converts light into sugar, the other consumes that sugar and produces biofuels useful for the built environment.",蓝藻将光转变成糖， 大肠杆菌消耗那些糖， 并生产出对保护环境有用的生物燃料。
